	Unnamed: 0	type_of_house	living_space	number_of_rooms	rent	construction_year	street	zipcode	region	tag	latitude	longitude
184	184		30	1.0	565		Theobald-Christ-Straße 11	60316	Frankfurt am Main, Ostend	/expose/114550244	50.1139623	50.1139623
185	185	Etagenwohnung	62	2.0	800		Schneidhainer Straße 6	61462	Königstein im Taunus, Hochtaunuskreis	/expose/114550707	50.1785375	50.1785375
186	186	Erdgeschosswohnung	99	3.0	1190	1968		64546	Mörfelden, Mörfelden-Walldorf	/expose/114552459	50.00449129999999	50.00449129999999
187	187	Etagenwohnung	38	1.0	919	1970		55116	Mainz, Altstadt	/expose/114550318	50.002218400000004	50.002218400000004
188	188	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.104569399999995	50.104569399999995
189	189		89	3.0	1391	2015	Speicherstraße 26	60327	Frankfurt am Main, Gutleutviertel	/expose/114554529	50.1008277	50.1008277
190	190		112	4.0	1480	1925		61184	Karben, Wetteraukreis	/expose/114556788	50.2313417	50.2313417
191	191		40	2.0	820	1975		60318	Frankfurt am Main, Nordend-West	/expose/114550604	50.1249136	50.1249136
192	192	Etagenwohnung	54	2.0	790	1996		61118	Bad Vilbel, Wetteraukreis	/expose/114554663	50.1804837	50.1804837
193	193	Etagenwohnung	115	4.0	1360		Frankfurter Str. 44	63065	Offenbach am Main, Stadtmitte	/expose/114551007		
194	194	Etagenwohnung	90	3.0	1300	1760	Frankfurter Straße 44	63065	Offenbach am Main, Stadtmitte	/expose/114550472		
195	195	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1127309	50.1127309
